I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3, 
-73, -87, -14, 80, -29, -51, 63, 48, -58, -165, -165, -151, 4, 78, 68, 
-73, -82, -9, 78, -31, -46, 63, 48, -53, -161, -165, -151, 4, 68, 68, 
-73, -78, -4, 75, -34, -41, 68, 48, -58, -165, -175, -151, 4, 68, 68, 
-82, -73, 9, 78, -46, -31, 68, 48, -73, -170, -185, -151, 0, 73, 73, 
-82, -73, 9, 78, -46, -31, 68, 48, -78, -175, -190, -156, 0, 78, 73, 
-73, -68, 4, 70, -39, -31, 73, 53, -82, -185, -195, -156, -4, 78, 73, 
-78, -73, 4, 75, -41, -34, 82, 53, -87, -195, -204, -165, -4, 78, 73, 
-82, -78, 4, 80, -43, -36, 82, 43, -92, -200, -214, -170, 0, 78, 73, 
-87, -78, 9, 82, -48, -34, 78, 39, -102, -219, -224, -180, 4, 82, 73, 
-82, -82, 0, 82, -41, -41, 87, 48, -112, -219, -224, -180, 4, 73, 78, 
-82, -87, -4, 85, -39, -46, 92, 48, -122, -229, -234, -180, 9, 73, 78, 
-87, -97, -9, 92, -39, -53, 92, 48, -131, -244, -248, -190, 9, 73, 73, 
-92, -97, -4, 95, -43, -51, 92, 43, -151, -263, -263, -204, 14, 73, 68, 
-87, -102, -14, 95, -36, -58, 92, 39, -156, -268, -268, -209, 9, 82, 63, 
-97, -112, -14, 104, -41, -63, 102, 24, -170, -292, -283, -214, 14, 82, 63, 
-102, -122, -19, 112, -41, -70, 102, 14, -185, -312, -307, -224, 19, 87, 63, 
-107, -122, -14, 114, -46, -68, 107, 4, -209, -336, -322, -234, 24, 87, 63, 
-112, -126, -14, 119, -48, -70, 117, 0, -219, -356, -341, -248, 29, 87, 63, 
-122, -131, -9, 126, -56, -70, 117, -4, -234, -380, -366, -268, 29, 82, 53, 
-131, -141, -9, 136, -61, -75, 126, -4, -253, -395, -375, -283, 29, 82, 53, 
-136, -151, -14, 143, -61, -82, 131, -9, -273, -419, -405, -297, 34, 87, 48, 
-141, -156, -14, 148, -63, -85, 146, -9, -287, -444, -424, -312, 39, 87, 48, 
-146, -161, -14, 153, -65, -87, 146, -24, -322, -473, -444, -326, 43, 87, 43, 
-156, -175, -19, 165, -68, -97, 151, -39, -341, -502, -473, -346, 43, 92, 43, 
-165, -190, -24, 178, -70, -107, 156, -53, -370, -531, -497, -361, 48, 97, 43, 
-170, -204, -34, 187, -68, -119, 161, -58, -400, -561, -517, -375, 58, 97, 43, 
-180, -224, -43, 202, -68, -134, 165, -73, -419, -590, -546, -400, 63, 102, 34, 
-190, -234, -43, 212, -73, -139, 170, -92, -453, -619, -575, -414, 68, 107, 29, 
