I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
619, -165, -785, -226, 702, -475, 24, 658, 190, 156, 244, 644, 
409, -287, -697, -61, 553, -492, 53, 356, 0, -63, 63, 429, 
136, -331, -468, 97, 302, -400, 161, 122, -73, -185, -73, 209, 
-92, -380, -287, 236, 97, -334, 341, -4, -97, -268, -219, 0, 
-258, -390, -131, 324, -63, -261, 463, -4, -87, -331, -336, -185, 
-341, -395, -53, 368, -143, -224, 522, -4, -19, -297, -336, -268, 
-380, -375, 4, 378, -192, -185, 575, 0, 39, -273, -317, -273, 
-409, -370, 39, 390, -224, -165, 673, 9, 73, -244, -326, -283, 
-439, -361, 78, 400, -258, -141, 741, 14, 53, -239, -322, -287, 
-468, -361, 107, 414, -287, -126, 780, 14, 43, -239, -322, -302, 
-473, -400, 73, 436, -273, -163, 785, -4, -29, -263, -322, -307, 
-473, -444, 29, 458, -251, -207, 805, -14, -117, -283, -322, -307, 
-473, -463, 9, 468, -241, -226, 805, -29, -146, -287, -336, -302, 
-468, -468, 0, 468, -234, -234, 756, -48, -146, -292, -326, -292, 
-439, -453, -14, 446, -212, -234, 663, -53, -156, -278, -302, -273, 
-424, -434, -9, 429, -207, -222, 624, -53, -161, -248, -287, -268, 
-395, -424, -29, 409, -183, -226, 619, -9, -141, -239, -278, -258, 
-351, -395, -43, 373, -153, -219, 561, 48, -122, -219, -258, -234, 
-292, -356, -63, 324, -114, -209, 468, 73, -117, -200, -239, -219, 
-248, -302, -53, 275, -97, -178, 370, 73, -102, -165, -200, -185, 
-204, -248, -43, 226, -80, -146, 292, 78, -82, -131, -175, -161, 
-170, -229, -58, 200, -56, -143, 253, 87, -68, -122, -161, -151, 
-161, -229, -68, 195, -46, -148, 234, 97, -58, -117, -151, -141, 
-151, -214, -63, 183, -43, -139, 224, 107, -53, -102, -136, -126, 
-146, -209, -63, 178, -41, -136, 200, 107, -58, -97, -131, -122, 
-136, -195, -58, 165, -39, -126, 195, 112, -53, -92, -126, -117, 
-136, -190, -53, 163, -41, -122, 190, 117, -48, -87, -131, -117, 
-131, -190, -58, 161, -36, -124, 190, 122, -43, -82, -136, -112, 
-126, -190, -63, 158, -31, -126, 190, 131, -39, -82, -126, -112, 
-126, -190, -63, 158, -31, -126, 190, 141, -29, -78, -126, -112, 
-122, -180, -58, 151, -31, -119, 190, 146, -24, -78, -126, -112, 
-117, -170, -53, 143, -31, -112, 185, 146, -24, -73, -122, -112, 
-117, -170, -53, 143, -31, -112, 185, 146, -24, -73, -122, -112, 
-117, -170, -53, 143, -31, -112, 185, 156, -24, -68, -126, -112, 
-122, -165, -43, 143, -39, -104, 185, 156, -24, -68, -126, -117, 
-126, -165, -39, 146, -43, -102, 185, 156, -24, -68, -126, -122, 
-126, -165, -39, 146, -43, -102, 185, 165, -19, -68, -126, -122, 
-126, -170, -43, 148, -41, -107, 185, 165, -14, -68, -126, -122, 
-126, -175, -48, 151, -39, -112, 185, 161, -14, -68, -126, -117, 
-131, -180, -48, 156, -41, -114, 185, 165, -9, -63, -126, -117, 
-131, -175, -43, 153, -43, -109, 185, 170, -9, -63, -126, -117, 
-131, -175, -43, 153, -43, -109, 185, 175, -4, -63, -126, -117, 
-131, -175, -43, 153, -43, -109, 190, 180, -9, -58, -126, -117, 
-131, -175, -43, 153, -43, -109, 190, 185, -4, -58, -122, -112, 
-136, -175, -39, 156, -48, -107, 195, 190, -4, -53, -122, -107, 
-136, -175, -39, 156, -48, -107, 195, 200, 0, -48, -122, -107, 
-136, -175, -39, 156, -48, -107, 200, 204, 4, -48, -126, -107, 
-131, -170, -39, 151, -46, -104, 204, 209, 4, -48, -131, -107, 
-131, -170, -39, 151, -46, -104, 209, 214, 9, -48, -131, -112, 
-131, -170, -39, 151, -46, -104, 214, 219, 14, -48, -126, -112, 
-122, -165, -43, 143, -39, -104, 209, 224, 9, -48, -122, -107, 
-117, -161, -43, 139, -36, -102, 204, 234, 0, -43, -117, -107, 
-112, -156, -43, 134, -34, -100, 204, 239, 0, -43, -117, -107, 
-107, -151, -43, 129, -31, -97, 209, 253, 9, -34, -112, -107, 
