I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
-48,-39,9,43,-29,-14,14,-19,-78,-107,-107,-82,-87,-29,0
-48,-39,9,43,-29,-14,19,-19,-78,-107,-107,-87,-87,-29,0
-48,-39,9,43,-29,-14,19,-14,-78,-107,-107,-87,-87,-29,0
-43,-34,9,39,-26,-12,14,-9,-78,-107,-107,-87,-87,-29,0
-43,-34,9,39,-26,-12,14,-9,-78,-107,-107,-87,-87,-29,0
-43,-24,19,34,-31,-2,9,-9,-78,-107,-107,-87,-92,-19,-9
-34,-14,19,24,-26,2,24,-9,-68,-97,-107,-82,-97,-9,-19
-29,4,34,12,-31,19,53,4,-63,-87,-102,-78,-102,9,-34
-14,24,39,-4,-26,31,87,24,-48,-78,-87,-68,-102,29,-53
-9,39,48,-14,-29,43,131,48,-29,-73,-78,-58,-107,43,-68
0,58,58,-29,-29,58,136,58,-19,-63,-68,-58,-112,53,-87
0,73,73,-36,-36,73,136,68,-4,-53,-63,-53,-117,63,-97
14,87,73,-51,-29,80,107,63,14,-43,-53,-53,-117,73,-112
24,112,87,-68,-31,100,73,58,24,-29,-43,-48,-112,92,-126
34,131,97,-82,-31,114,53,48,34,-19,-34,-43,-102,102,-126
43,136,92,-90,-24,114,-19,-14,19,-34,-43,-43,-97,102,-102
48,141,92,-95,-21,117,-112,-117,-19,-58,-58,-43,-92,102,-48
48,141,92,-95,-21,117,-161,-136,-39,-68,-73,-48,-82,97,-19
48,131,82,-90,-17,107,-170,-146,-58,-82,-82,-48,-78,92,4
48,126,78,-87,-14,102,-180,-146,-68,-87,-82,-48,-73,92,19
48,117,68,-82,-9,92,-175,-141,-73,-92,-87,-48,-58,92,29
43,102,58,-73,-7,80,-170,-151,-92,-107,-97,-53,-58,78,53
43,87,43,-65,0,65,-180,-161,-122,-122,-107,-53,-48,68,78
48,78,29,-63,9,53,-180,-161,-126,-131,-117,-48,-39,63,92
48,73,24,-61,12,48,-170,-156,-126,-131,-117,-48,-34,63,92
43,63,19,-53,12,41,-141,-136,-122,-131,-117,-48,-29,53,82
19,39,19,-29,0,29,-97,-112,-122,-131,-122,-58,-48,39,73
-9,19,29,-4,-19,24,-63,-92,-126,-141,-131,-78,-73,29,48
-34,0,34,17,-34,17,-39,-78,-126,-146,-136,-82,-87,19,39
-48,-9,39,29,-43,14,-24,-78,-126,-146,-141,-87,-97,19,29
-53,-14,39,34,-46,12,-9,-68,-126,-146,-141,-92,-102,9,19
-73,-24,48,48,-61,12,4,-53,-122,-146,-141,-112,-112,0,9
-78,-39,39,58,-58,0,29,-39,-122,-146,-141,-117,-117,-19,0
-87,-68,19,78,-53,-24,43,-29,-122,-146,-151,-126,-122,-39,0
-87,-87,0,87,-43,-43,53,-24,-126,-151,-156,-131,-126,-43,0
-87,-92,-4,90,-41,-48,53,-24,-131,-156,-156,-136,-126,-48,4
-92,-92,0,92,-46,-46,53,-19,-136,-156,-161,-136,-131,-48,4
-97,-97,0,97,-48,-48,58,-19,-136,-156,-161,-136,-136,-48,4
-97,-92,4,95,-51,-43,63,-14,-131,-156,-161,-136,-141,-48,0
-102,-87,14,95,-58,-36,68,-9,-131,-156,-161,-136,-141,-48,0
-102,-87,14,95,-58,-36,73,-9,-126,-151,-165,-136,-141,-53,0
-102,-87,14,95,-58,-36,82,0,-112,-141,-156,-136,-141,-53,-14
-122,-78,43,100,-82,-17,102,19,-78,-126,-151,-146,-151,-48,-39
-161,-68,92,114,-126,12,146,63,-9,-97,-136,-180,-180,-34,-107
-204,-53,151,129,-178,48,273,209,126,-14,-102,-224,-239,-24,-244
-224,-19,204,122,-214,92,507,522,424,185,19,-234,-253,4,-488
-175,58,234,58,-204,146,702,897,863,507,278,-151,-156,48,-741
-78,141,219,-31,-148,180,751,1068,1146,732,458,-53,-39,92,-868
92,287,195,-190,-51,241,517,917,1210,844,595,97,141,151,-805
287,517,229,-402,29,373,102,326,717,605,502,253,248,292,-488
488,746,258,-617,114,502,-600,-785,-322,4,180,380,302,458,180
