I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-58,-48,9,53,-34,-19,58,9,19,-9,-29,-87
-58,-48,9,53,-34,-19,58,9,34,0,-29,-78
-58,-48,9,53,-34,-19,58,9,48,9,-29,-68
-53,-48,4,51,-29,-21,39,4,34,0,-34,-78
-48,-48,0,48,-24,-24,19,0,19,-9,-39,-87
-48,-53,-4,51,-21,-29,9,-4,14,-14,-43,-92
-48,-58,-9,53,-19,-34,0,-9,9,-19,-48,-97
-34,-58,-24,46,-4,-41,-4,-34,9,-24,-58,-107
-19,-58,-39,39,9,-48,-9,-58,9,-29,-68,-117
-29,-68,-39,48,4,-53,-9,-58,9,-29,-58,-107
-39,-78,-39,58,0,-58,-9,-58,9,-29,-48,-97
-58,-63,-4,61,-26,-34,-9,-14,19,-19,-39,-87
-78,-48,29,63,-53,-9,-9,29,29,-9,-29,-78
-63,-39,24,51,-43,-7,14,29,29,-9,-29,-78
-48,-29,19,39,-34,-4,39,29,29,-9,-29,-78
-48,-48,0,48,-24,-24,19,0,19,-19,-48,-97
-34,-58,-24,46,-4,-41,4,-29,4,-29,-53,-107
-24,-68,-43,46,9,-56,-9,-63,-4,-39,-58,-117
-29,-39,-9,34,-9,-24,-4,-87,-9,-43,-58,-102
-29,-14,14,21,-21,0,43,-73,14,-24,-43,-87
-14,19,34,-2,-24,26,92,-58,43,0,-34,-73
-29,19,48,4,-39,34,92,14,63,24,-4,-53
-29,4,34,12,-31,19,92,78,82,39,9,-39
-24,9,34,7,-29,21,82,78,78,34,0,-48
-29,9,39,9,-34,24,73,82,87,39,0,-48
-19,19,39,0,-29,29,73,82,102,53,4,-43
-24,24,48,0,-36,36,68,73,112,58,9,-39
4,34,29,-19,-12,31,58,48,126,63,19,-34
34,39,4,-36,14,21,24,24,136,68,24,-34
73,63,-9,-68,41,26,9,14,136,68,24,-34
68,78,9,-73,29,43,0,9,141,68,24,-34
-9,78,87,-34,-48,82,-34,34,131,73,34,-29
-82,58,141,12,-112,100,-63,43,131,78,39,-19
-73,29,102,21,-87,65,-78,39,131,78,39,-9
-34,0,34,17,-34,17,-102,19,107,53,9,-24
19,0,-19,-9,19,-9,-78,19,68,39,-4,-39
73,9,-63,-41,68,-26,-53,19,48,24,-19,-53
43,39,-4,-41,24,17,-53,14,43,19,0,-39
19,43,24,-31,-2,34,-53,4,29,9,4,-34
39,19,-19,-29,29,0,-63,-29,4,-9,-24,-58
58,9,-48,-34,53,-19,-63,-53,-9,-24,-43,-78
43,-4,-48,-19,46,-26,-43,-63,-29,-34,-63,-97
4,-19,-24,7,14,-21,-39,-73,-39,-34,-73,-107
-24,0,24,12,-24,12,-19,-58,-24,-34,-63,-97
-39,9,48,14,-43,29,9,-48,-9,-29,-53,-87
-48,-14,34,31,-41,9,14,-29,4,-29,-58,-92
-87,-43,43,65,-65,0,24,-9,4,-29,-63,-97
-92,-78,14,85,-53,-31,-4,0,0,-39,-68,-102
-78,-102,-24,90,-26,-63,-24,4,-14,-43,-78,-117
-78,-92,-14,85,-31,-53,0,-4,-14,-48,-78,-117
-87,-87,0,87,-43,-43,24,-19,-9,-53,-78,-122
-78,-87,-9,82,-34,-48,24,-29,-14,-58,-82,-122
-68,-82,-14,75,-26,-48,14,-39,-19,-58,-87,-122
-68,-68,0,68,-34,-34,39,-39,-19,-58,-87,-122
-68,-34,34,51,-51,0,78,-34,-14,-48,-73,-117
-107,-53,53,80,-80,0,58,-92,-43,-82,-97,-141
-112,-73,39,92,-75,-17,43,-73,-24,-73,-107,-141
-63,-78,-14,70,-24,-46,29,156,29,-14,-73,-126
19,-97,-117,39,68,-107,14,483,156,102,-9,-82
117,-24,-141,-46,129,-82,87,888,507,419,204,63
165,82,-82,-124,124,0,165,1132,858,722,429,239
156,229,73,-192,41,151,170,805,1058,829,512,297
53,424,370,-239,-158,397,131,151,1044,780,536,341
-73,727,800,-326,-436,763,19,-488,1019,839,727,556
-175,990,1166,-407,-671,1078,-219,-1234,800,805,907,829
-204,1283,1488,-539,-846,1385,-600,-2054,-39,366,873,1010
9,1366,1356,-688,-673,1361,-1005,-2479,-893,-151,702,1083
434,1019,585,-727,-75,802,-1268,-2288,-1464,-575,448,1029
907,766,-141,-836,524,312,-1478,-1961,-1751,-790,326,1029
1444,414,-1029,-929,1237,-307,-1571,-1293,-1800,-785,302,1029
1864,19,-1844,-941,1854,-912,-1576,-668,-1805,-814,165,878
2200,-273,-2474,-963,2337,-1373,-1512,-195,-1825,-976,-131,551
2264,-566,-2830,-849,2547,-1698,-1317,73,-1786,-1141,-556,-14
2005,-888,-2893,-558,2449,-1891,-1088,185,-1747,-1376,-1088,-790
1722,-1024,-2747,-348,2235,-1886,-858,170,-1625,-1434,-1327,-1166
1371,-1024,-2396,-173,1883,-1710,-712,-73,-1503,-1385,-1327,-1229
941,-941,-1883,0,1412,-1412,-531,-263,-1254,-1244,-1229,-1161
385,-766,-1151,190,768,-958,-297,-322,-927,-990,-1019,-990
4,-619,-624,307,314,-622,-117,-307,-605,-683,-746,-780
-107,-366,-258,236,75,-312,4,-234,-283,-336,-395,-448
-170,-195,-24,183,-73,-109,73,-190,-63,-131,-200,-248
-204,-136,68,170,-136,-34,92,-53,-14,-87,-151,-204
-239,-92,146,165,-192,26,122,73,29,-29,-78,-161
-214,-92,122,153,-168,14,112,73,29,-4,-58,-126
-200,-97,102,148,-151,2,102,73,24,-4,-58,-117
-136,-73,63,104,-100,-4,102,63,9,-39,-97,-141
-117,-82,34,100,-75,-24,97,53,-9,-73,-136,-175
-122,-87,34,104,-78,-26,112,29,0,-43,-102,-156
-136,-82,53,109,-95,-14,122,9,4,-24,-82,-146
-141,-102,39,122,-90,-31,102,-24,0,-39,-112,-151
-141,-107,34,124,-87,-36,97,-34,0,-39,-97,-151
-112,-78,34,95,-73,-21,131,14,24,-9,-63,-122
-107,-58,48,82,-78,-4,156,34,48,9,-39,-92
-117,-53,63,85,-90,4,126,39,39,-9,-68,-107
-112,-53,58,82,-85,2,102,48,19,-19,-82,-122
-122,-58,63,90,-92,2,97,39,19,-14,-68,-122
-141,-68,73,104,-107,2,92,29,24,-14,-58,-107
-141,-73,68,107,-104,-2,92,39,24,-9,-58,-107
